"Category","Description","Amount","Date","Source","Notes"
"FAL AI Usage","Nano Banana Images","275.02","2025-09-01 to 2025-09-08","CSV Data","6,910 images × $0.0398"
"FAL AI Usage","Minimax Video","3.00","2025-09-08","CSV Data","6 videos × $0.50"
"FAL AI Usage","Kling Master Video","2.80","2025-09-08","CSV Data","10 video seconds × $0.28"
"FAL AI Usage","Veo3 Fast Video","2.40","2025-09-08","CSV Data","16 video seconds × $0.15"
"FAL AI Usage","Seedance Pro Video","0.61","2025-09-06","CSV Data","0.25M tokens × $2.50"
"FAL AI Usage","Minimax Hailuo Video","0.48","2025-09-08","CSV Data","6 video seconds × $0.08"
"FAL AI Usage","Flux Pro Images","0.12","2025-09-02","CSV Data","2 images × $0.06"
"FAL AI Usage","Fast SDXL","0.05","2025-09-03","CSV Data","48 compute seconds × $0.0011"
"FAL AI Usage","Gemini Flash Images","0.08","2025-09-02","CSV Data","2 images × $0.0398"
"FAL AI Usage","Minimax Video Generation","0.00","2025-09-07 to 2025-09-08","CSV Data","0.5 compute seconds × $0.0002"
"FAL AI Usage","Nano Banana (Playground)","0.16","2025-09-03 to 2025-09-07","CSV Data","4 images × $0.0398"
"FAL AI Usage","TOTAL SPENT","284.60","2025-09-01 to 2025-09-08","CSV Data","Matches dashboard exactly"
"FAL AI Balance","Current Balance","57.85","2025-09-08","Live Dashboard","Remaining credits"
"FAL AI Balance","Total Credits Used","342.45","2025-09-08","Calculated","$284.60 spent + $57.85 balance"
"Developer Investment","FAL AI Credits","342.45","2025-09-08","Developer Pocket","Total amount invested by developer"
"Donations","Ko-fi Donations","613.00","2025-09-08","Ko-fi Dashboard","Available December 12, 2025"
"Financial Position","Net Position","270.55","2025-09-08","Calculated","$613.00 donations - $342.45 investment"
"Usage Statistics","Total Images Generated","6910","2025-09-01 to 2025-09-08","CSV Data","Nano Banana images only"
"Usage Statistics","Total Video Seconds","40.25","2025-09-01 to 2025-09-08","CSV Data","All video models combined"
"Usage Statistics","Average Daily Usage","863.75","2025-09-01 to 2025-09-08","Calculated","Images per day"
"Usage Statistics","Peak Usage Day","1916","2025-09-07","CSV Data","Images generated on Sep 7"
"Usage Statistics","Cost Per Image","0.0398","2025-09-01 to 2025-09-08","FAL AI Pricing","Nano Banana model cost"
"Usage Statistics","Success Rate","100","2025-09-01 to 2025-09-08","Assumed","Based on successful generations"
"Projections","Weekly Projection (2x)","13820","Future","Calculated","6,910 × 2 for growth planning"
"Projections","Weekly Cost (2x)","550.00","Future","Calculated","13,820 images × $0.0398"
"Projections","Current Users","24","2025-09-08","Estimated","Active user base"
"Projections","Target Users (2x)","48","Future","Growth Plan","Planned user base expansion"
"Balance Monitoring","Status","Healthy","2025-09-08","API Test","FAL AI balance check successful"
"Balance Monitoring","Last Checked","2025-09-08","2025-09-08","System","Real-time balance monitoring active"
"Balance Monitoring","Low Balance Threshold","50.00","2025-09-08","System","Alert threshold for low balance"
"Model Performance","Nano Banana Usage","99.1","2025-09-01 to 2025-09-08","Percentage","% of total usage"
"Model Performance","Video Models Usage","0.9","2025-09-01 to 2025-09-08","Percentage","% of total usage"
"Model Performance","Most Popular Video","Kling Master","2025-09-08","CSV Data","$2.80 spent, 10 video seconds"
"Model Performance","Least Popular Video","Seedance Pro","2025-09-06","CSV Data","$0.61 spent, 0.25M tokens"
